D:\glo_2102\Datos primero\Naming\MERGE.emrg2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ExperimentName;Subject;Session;Clock.Information;DataFile.Basename;Display.RefreshRate;Edad;ExperimentVersion;Group;PreferenciaManual;RandomSeed;RuntimeVersion;RuntimeVersionExpected;SessionDate;SessionStartDateTimeUtc;SessionTime;Sexo;StudioVersion;Block;bloque1;bloque2;ListContrabalanceo;ListContrabalanceo.Cycle;ListContrabalanceo.Sample;Procedure[Block];Running[Block];Trial;Bloques;info1;info2;info3;ListBloques;ListBloques.Cycle;ListBloques.Sample;ListPract;ListPract.Cycle;ListPract.Sample;Num.ACC[Trial];Num.CRESP[Trial];Num.DurationError[Trial];Num.OnsetDelay[Trial];Num.OnsetTime[Trial];Num.OnsetToOnsetTime[Trial];Num.RESP[Trial];Num.RT[Trial];Num.RTTime[Trial];numero[Trial];Procedure[Trial];Running[Trial];SubTrial;code;lista1;lista2;Listensayos;Listensayos.Cycle;Listensayos.Sample;Num.ACC[SubTrial];Num.CRESP[SubTrial];Num.DurationError[SubTrial];Num.OnsetDelay[SubTrial];Num.OnsetTime[SubTrial];Num.OnsetToOnsetTime[SubTrial];Num.RESP[SubTrial];Num.RT[SubTrial];Num.RTTime[SubTrial];numero[SubTrial];Procedure[SubTrial];Running[SubTrial]
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;1;;;;;;;;2;1;1;0;;-999999;0;101637;0;6;1362;102999;2;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;2;;;;;;;;4;1;2;0;;-999999;0;109772;0;6;1056;110828;8;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;3;;;;;;;;1;1;3;0;;-999999;0;117441;0;6;1187;118628;0;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;4;;;;;;;;3;1;4;0;;-999999;0;124876;0;6;964;125840;6;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;5;;;;;;;;5;1;5;0;;-999999;0;131778;0;6;1153;132931;12;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;6;;;;;;;;6;1;6;0;;-999999;0;139563;0;6;1189;140752;16;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;7;;;;;;;;4;2;7;0;;-999999;0;147098;0;6;993;148091;8;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;8;;;;;;;;3;2;8;0;;-999999;0;155017;0;6;951;155968;6;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;9;;;;;;;;1;2;9;0;;-999999;1;161569;0;6;1003;162572;0;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;403;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">4164318270</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-04T08:39:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-0403;59.986;6;1.0.0.308;1;diestro;-129949825;2.0.10.242;2.0.10.242;03.04.2019;04.03.2019 8:39;9:39:19;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;10;;;;;;;;5;2;10;0;;-999999;0;167970;0;6;1051;169021;12;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
