D:\glo_2102\Datos sexto\Naming\MERGE.emrg2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ExperimentName;Subject;Session;Clock.Information;DataFile.Basename;Display.RefreshRate;Edad;ExperimentVersion;Group;PreferenciaManual;RandomSeed;RuntimeVersion;RuntimeVersionExpected;SessionDate;SessionStartDateTimeUtc;SessionTime;Sexo;StudioVersion;Block;bloque1;bloque2;ListContrabalanceo;ListContrabalanceo.Cycle;ListContrabalanceo.Sample;Procedure[Block];Running[Block];Trial;Bloques;info1;info2;info3;ListBloques;ListBloques.Cycle;ListBloques.Sample;ListPract;ListPract.Cycle;ListPract.Sample;Num.ACC[Trial];Num.CRESP[Trial];Num.DurationError[Trial];Num.OnsetDelay[Trial];Num.OnsetTime[Trial];Num.OnsetToOnsetTime[Trial];Num.RESP[Trial];Num.RT[Trial];Num.RTTime[Trial];numero[Trial];Procedure[Trial];Running[Trial];SubTrial;code;lista1;lista2;Listensayos;Listensayos.Cycle;Listensayos.Sample;Num.ACC[SubTrial];Num.CRESP[SubTrial];Num.DurationError[SubTrial];Num.OnsetDelay[SubTrial];Num.OnsetTime[SubTrial];Num.OnsetToOnsetTime[SubTrial];Num.RESP[SubTrial];Num.RT[SubTrial];Num.RTTime[SubTrial];numero[SubTrial];Procedure[SubTrial];Running[SubTrial]
NamingNumber;1;2904;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6670604098</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-2904;59.985;11;1.0.0.308;2;diestro;-1918639373;2.0.10.242;2.0.10.242;04-29-2019;29.04.2019 7:29;9:29:25;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;1;;;;;;;;3;1;1;0;;-999999;1;104082;0;6;4281;108363;6;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;2904;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6670604098</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-2904;59.985;11;1.0.0.308;2;diestro;-1918639373;2.0.10.242;2.0.10.242;04-29-2019;29.04.2019 7:29;9:29:25;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;2;;;;;;;;1;1;2;0;;-999999;0;114151;0;6;718;114869;0;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;2904;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6670604098</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-2904;59.985;11;1.0.0.308;2;diestro;-1918639373;2.0.10.242;2.0.10.242;04-29-2019;29.04.2019 7:29;9:29:25;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;3;;;;;;;;4;1;3;0;;-999999;0;121069;0;6;516;121585;8;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;2904;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6670604098</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-2904;59.985;11;1.0.0.308;2;diestro;-1918639373;2.0.10.242;2.0.10.242;04-29-2019;29.04.2019 7:29;9:29:25;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;4;;;;;;;;6;1;4;0;;-999999;0;126904;0;6;590;127494;16;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;2904;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6670604098</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-2904;59.985;11;1.0.0.308;2;diestro;-1918639373;2.0.10.242;2.0.10.242;04-29-2019;29.04.2019 7:29;9:29:25;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;5;;;;;;;;2;1;5;0;;-999999;0;132722;0;6;539;133261;2;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;2904;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6670604098</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-2904;59.985;11;1.0.0.308;2;diestro;-1918639373;2.0.10.242;2.0.10.242;04-29-2019;29.04.2019 7:29;9:29:25;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;6;;;;;;;;5;1;6;0;;-999999;0;139140;0;6;717;139857;12;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;2904;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6670604098</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-2904;59.985;11;1.0.0.308;2;diestro;-1918639373;2.0.10.242;2.0.10.242;04-29-2019;29.04.2019 7:29;9:29:25;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;7;;;;;;;;3;2;7;0;;-999999;0;144892;0;6;493;145385;6;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;2904;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6670604098</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-2904;59.985;11;1.0.0.308;2;diestro;-1918639373;2.0.10.242;2.0.10.242;04-29-2019;29.04.2019 7:29;9:29:25;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;8;;;;;;;;1;2;8;0;;-999999;1;151594;0;6;525;152119;0;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;2904;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6670604098</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-2904;59.985;11;1.0.0.308;2;diestro;-1918639373;2.0.10.242;2.0.10.242;04-29-2019;29.04.2019 7:29;9:29:25;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;9;;;;;;;;5;2;9;0;;-999999;0;157111;0;6;499;157610;12;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
NamingNumber;1;2904;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6670604098</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-29T07:29:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";NamingNumber-1-2904;59.985;11;1.0.0.308;2;diestro;-1918639373;2.0.10.242;2.0.10.242;04-29-2019;29.04.2019 7:29;9:29:25;mujer;2.0.10.147;1;lista1;lista2;1;2;1;ProcExperi;ListContrabalanceo;10;;;;;;;;4;2;10;0;;-999999;0;162846;0;6;466;163312;8;ProcEnsayo;ListPract;;;;;;;;;;;;;;;;;;;
